Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|index.html|1000|60s|30s|23168,16|52,30|ms|53,57|ms|1389125|0|20,39|MB
2|index.html|1000|60s|30s|23360,67|52,39|ms|52,88|ms|1399368|0|20,54|MB
3|index.html|1000|60s|30s|25217,54|52,13|ms|52,47|ms|1510585|0|22,17|MB
4|index.html|1000|60s|30s|25413,43|52,16|ms|52,61|ms|1522237|0|22,34|MB
5|index.html|1000|60s|30s|24897,32|52,23|ms|52,63|ms|1492146|0|21,90|MB
6|index.html|1000|60s|30s|24025,12|52,46|ms|54,43|ms|1439459|0|21,13|MB
7|index.html|1000|60s|30s|23793,50|52,40|ms|52,98|ms|1425949|0|20,93|MB
8|index.html|1000|60s|30s|24344,99|52,42|ms|52,72|ms|1459103|0|21,42|MB
9|index.html|1000|60s|30s|22959,79|52,48|ms|53,21|ms|1377097|0|20,21|MB
10|index.html|1000|60s|30s|25265,47|52,12|ms|52,48|ms|1514456|0|22,23|MB
