Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|proxy_shm.php|1000|60s|30s|1351,01|777,86|ms|1,77|s|81865|0|109,17|MB
2|proxy_shm.php|1000|60s|30s|1383,16|759,11|ms|0,89|s|83816|0|111,64|MB
3|proxy_shm.php|1000|60s|30s|1381,84|765,62|ms|0,86|s|83762|0|111,61|MB
4|proxy_shm.php|1000|60s|30s|1381,46|755,59|ms|0,85|s|83750|0|111,65|MB
5|proxy_shm.php|1000|60s|30s|1380,84|765,62|ms|0,85|s|83685|0|111,57|MB
6|proxy_shm.php|1000|60s|30s|1381,79|761,74|ms|0,91|s|83774|0|111,63|MB
7|proxy_shm.php|1000|60s|30s|1380,22|753,15|ms|0,86|s|83636|0|111,60|MB
8|proxy_shm.php|1000|60s|30s|1380,42|760,05|ms|0,88|s|83649|0|111,59|MB
9|proxy_shm.php|1000|60s|30s|1381,26|758,38|ms|0,85|s|83725|0|111,64|MB
10|proxy_shm.php|1000|60s|30s|1383,81|752,96|ms|834,71|ms|83829|0|111,67|MB
