Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|redis_shm.php|1000|60s|30s|1412,60|782,75|ms|1,08|s|85502|0|2,06|MB
2|redis_shm.php|1000|60s|30s|1416,14|783,55|ms|828,34|ms|85706|0|2,07|MB
3|redis_shm.php|1000|60s|30s|1288,08|826,86|ms|2,94|s|78088|0|1,88|MB
4|redis_shm.php|1000|60s|30s|1415,37|775,27|ms|813,57|ms|85662|0|2,07|MB
5|redis_shm.php|1000|60s|30s|1369,90|816,80|ms|0,86|s|83021|0|2,00|MB
6|redis_shm.php|1000|60s|30s|1423,63|775,42|ms|810,94|ms|86201|0|2,08|MB
7|redis_shm.php|1000|60s|30s|1419,03|776,77|ms|812,99|ms|85902|0|2,07|MB
8|redis_shm.php|1000|60s|30s|1415,14|776,71|ms|812,02|ms|85685|0|2,07|MB
9|redis_shm.php|1000|60s|30s|1400,48|798,75|ms|0,85|s|84758|0|2,04|MB
10|redis_shm.php|1000|60s|30s|1255,64|838,17|ms|2,88|s|76106|0|1,83|MB
