Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|index.html|1000|60s|30s|49879,31|32,55|ms|37,25|ms|2987731|0|43,86|MB
2|index.html|1000|60s|30s|49682,61|35,08|ms|40,40|ms|2975107|0|43,68|MB
3|index.html|1000|60s|30s|49440,50|37,30|ms|41,98|ms|2960781|0|43,47|MB
4|index.html|1000|60s|30s|49604,26|38,20|ms|44,20|ms|2969038|0|43,58|MB
5|index.html|1000|60s|30s|49454,66|34,50|ms|37,11|ms|2961127|0|43,47|MB
6|index.html|1000|60s|30s|49669,04|30,03|ms|34,34|ms|2974689|0|43,67|MB
7|index.html|1000|60s|30s|49436,90|41,56|ms|47,01|ms|2960390|0|43,46|MB
8|index.html|1000|60s|30s|49546,24|35,45|ms|39,27|ms|2970508|0|43,61|MB
9|index.html|1000|60s|30s|49342,22|35,20|ms|45,29|ms|2955771|0|43,39|MB
10|index.html|1000|60s|30s|49390,09|35,15|ms|39,91|ms|2959663|0|43,45|MB
