Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|proxy_shm.php|1000|60s|30s|1376,27|764,26|ms|0,90|s|83398|0|111,16|MB
2|proxy_shm.php|1000|60s|30s|1377,26|768,08|ms|0,94|s|83428|0|111,50|MB
3|proxy_shm.php|1000|60s|30s|1379,86|768,11|ms|0,87|s|83600|0|111,64|MB
4|proxy_shm.php|1000|60s|30s|1378,63|767,26|ms|0,92|s|83485|0|111,59|MB
5|proxy_shm.php|1000|60s|30s|1378,85|771,67|ms|0,88|s|83612|0|111,53|MB
6|proxy_shm.php|1000|60s|30s|1378,95|765,20|ms|0,90|s|83542|0|111,64|MB
7|proxy_shm.php|1000|60s|30s|1337,04|788,42|ms|2,56|s|81015|0|108,01|MB
8|proxy_shm.php|1000|60s|30s|1377,89|764,24|ms|0,91|s|83492|0|111,60|MB
9|proxy_shm.php|1000|60s|30s|1370,25|784,34|ms|1,22|s|83106|0|103,10|MB
10|proxy_shm.php|1000|60s|30s|1379,67|764,95|ms|0,86|s|83579|0|111,55|MB
