Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|redis_shm.php|1000|60s|30s|1429,00|781,24|ms|844,41|ms|86531|0|2,08|MB
2|redis_shm.php|1000|60s|30s|1421,71|781,63|ms|829,61|ms|86152|0|2,08|MB
3|redis_shm.php|1000|60s|30s|1330,38|829,05|ms|2,19|s|80623|0|1,94|MB
4|redis_shm.php|1000|60s|30s|1348,27|783,96|ms|2,52|s|81664|0|1,97|MB
5|redis_shm.php|1000|60s|30s|1371,15|818,40|ms|0,86|s|83041|0|2,00|MB
6|redis_shm.php|1000|60s|30s|1390,55|781,74|ms|2,10|s|84211|0|2,03|MB
7|redis_shm.php|1000|60s|30s|1425,71|777,35|ms|820,09|ms|86341|0|2,08|MB
8|redis_shm.php|1000|60s|30s|1415,49|782,14|ms|1,00|s|85752|0|2,07|MB
9|redis_shm.php|1000|60s|30s|1411,17|791,61|ms|848,94|ms|85515|0|2,06|MB
10|redis_shm.php|1000|60s|30s|1315,31|834,66|ms|1,16|s|79670|0|1,92|MB
