Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|index.html|1000|60s|30s|49244,49|36,10|ms|40,56|ms|2949087|0|43,30|MB
2|index.html|1000|60s|30s|49028,16|29,81|ms|33,92|ms|2938391|0|43,14|MB
3|index.html|1000|60s|30s|49061,52|33,76|ms|36,18|ms|2940125|0|43,17|MB
4|index.html|1000|60s|30s|48874,72|36,15|ms|40,91|ms|2925485|0|42,95|MB
5|index.html|1000|60s|30s|48978,75|43,44|ms|47,88|ms|2933414|0|43,06|MB
6|index.html|1000|60s|30s|49269,05|36,62|ms|40,15|ms|2942765|0|43,20|MB
7|index.html|1000|60s|30s|49014,56|31,64|ms|36,28|ms|2937001|0|43,12|MB
8|index.html|1000|60s|30s|48988,26|32,64|ms|42,99|ms|2932243|0|43,04|MB
9|index.html|1000|60s|30s|48877,28|32,47|ms|37,03|ms|2929456|0|43,00|MB
10|index.html|1000|60s|30s|48894,37|29,85|ms|33,58|ms|2928709|0|43,00|MB
