Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|redis_shm.php|1000|60s|30s|1468,22|735,73|ms|773,49|ms|88865|0|2,14|MB
2|redis_shm.php|1000|60s|30s|1462,01|773,39|ms|847,20|ms|88495|0|2,13|MB
3|redis_shm.php|1000|60s|30s|1412,62|815,95|ms|1,68|s|85518|0|2,06|MB
4|redis_shm.php|1000|60s|30s|1462,45|804,29|ms|0,87|s|88478|0|2,13|MB
5|redis_shm.php|1000|60s|30s|1384,45|844,30|ms|0,90|s|83855|0|2,02|MB
6|redis_shm.php|1000|60s|30s|1430,06|837,31|ms|0,89|s|86598|0|2,09|MB
7|redis_shm.php|1000|60s|30s|1418,03|839,40|ms|0,89|s|85878|0|2,07|MB
8|redis_shm.php|1000|60s|30s|1400,14|741,17|ms|3,00|s|84754|0|2,04|MB
9|redis_shm.php|1000|60s|30s|1353,12|0,87|s|0,95|s|81962|0|1,98|MB
10|redis_shm.php|1000|60s|30s|1312,28|0,88|s|0,92|s|79566|0|1,92|MB
