Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|index.html|1000|60s|30s|49377,29|27,71|ms|30,13|ms|2959033|0|43,44|MB
2|index.html|1000|60s|30s|49478,84|30,98|ms|34,36|ms|2961430|0|43,47|MB
3|index.html|1000|60s|30s|49281,10|33,40|ms|36,60|ms|2949798|0|43,30|MB
4|index.html|1000|60s|30s|49502,12|36,71|ms|40,58|ms|2965785|0|43,54|MB
5|index.html|1000|60s|30s|49162,94|37,90|ms|43,24|ms|2944057|0|43,22|MB
6|index.html|1000|60s|30s|49287,92|32,49|ms|36,13|ms|2952775|0|43,35|MB
7|index.html|1000|60s|30s|49269,00|31,23|ms|35,87|ms|2952838|0|43,35|MB
8|index.html|1000|60s|30s|49065,73|36,41|ms|41,30|ms|2937521|0|43,13|MB
9|index.html|1000|60s|30s|49087,14|28,16|ms|30,32|ms|2938828|0|43,15|MB
10|index.html|1000|60s|30s|49258,06|33,53|ms|45,22|ms|2949504|0|43,30|MB
