Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|redis_sock.php|1000|60s|30s|1462,60|742,51|ms|796,81|ms|88505|0|2,13|MB
2|redis_sock.php|1000|60s|30s|1444,53|789,57|ms|1,23|s|87430|0|2,11|MB
3|redis_sock.php|1000|60s|30s|1436,76|808,62|ms|0,98|s|87002|0|2,10|MB
4|redis_sock.php|1000|60s|30s|1457,52|815,09|ms|0,94|s|88147|0|2,13|MB
5|redis_sock.php|1000|60s|30s|1383,72|840,77|ms|0,90|s|83797|0|2,02|MB
6|redis_sock.php|1000|60s|30s|1433,43|838,62|ms|0,89|s|86782|0|2,09|MB
7|redis_sock.php|1000|60s|30s|1414,10|844,29|ms|0,89|s|85582|0|2,06|MB
8|redis_sock.php|1000|60s|30s|1440,96|747,90|ms|0,85|s|87322|0|2,10|MB
9|redis_sock.php|1000|60s|30s|1369,37|0,86|s|0,92|s|82886|0|2,00|MB
10|redis_sock.php|1000|60s|30s|1311,36|0,88|s|0,93|s|79431|0|1,92|MB
