Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|index.html|1000|60s|30s|49221,28|30,41|ms|35,11|ms|2947338|0|43,27|MB
2|index.html|1000|60s|30s|49223,01|34,73|ms|40,57|ms|2946161|0|43,25|MB
3|index.html|1000|60s|30s|48985,72|26,40|ms|36,84|ms|2934320|0|43,08|MB
4|index.html|1000|60s|30s|49307,12|41,41|ms|45,44|ms|2952863|0|43,35|MB
5|index.html|1000|60s|30s|49175,89|42,53|ms|45,65|ms|2943422|0|43,20|MB
6|index.html|1000|60s|30s|49319,48|38,74|ms|43,34|ms|2952576|0|43,34|MB
7|index.html|1000|60s|30s|49408,61|30,55|ms|34,02|ms|2959724|0|43,45|MB
8|index.html|1000|60s|30s|49215,47|42,73|ms|46,54|ms|2946876|0|43,26|MB
9|index.html|1000|60s|30s|49023,84|32,12|ms|41,73|ms|2935994|0|43,10|MB
10|index.html|1000|60s|30s|49310,39|32,76|ms|37,64|ms|2950599|0|43,32|MB
