Count|URL|Connections|Duration|Timeout|Requests/s|Latency95%|unit|Latency99%|unit|HTTP2xx|OthersHTTP|Throughput|unit
1|redis_shm.php|1000|60s|30s|1443,83|773,34|ms|849,27|ms|87385|0|2,11|MB
2|redis_shm.php|1000|60s|30s|1431,91|788,91|ms|0,89|s|86719|0|2,09|MB
3|redis_shm.php|1000|60s|30s|1312,43|0,87|s|2,63|s|79582|0|1,92|MB
4|redis_shm.php|1000|60s|30s|1340,40|0,88|s|2,28|s|81162|0|1,96|MB
5|redis_shm.php|1000|60s|30s|1313,99|0,91|s|1,54|s|79642|0|1,92|MB
6|redis_shm.php|1000|60s|30s|1386,32|0,87|s|0,95|s|83969|0|2,02|MB
7|redis_shm.php|1000|60s|30s|1368,93|0,89|s|0,97|s|82922|0|2,00|MB
8|redis_shm.php|1000|60s|30s|1437,87|779,96|ms|0,87|s|87055|0|2,10|MB
9|redis_shm.php|1000|60s|30s|1357,42|0,89|s|1,35|s|82190|0|1,98|MB
10|redis_shm.php|1000|60s|30s|1255,60|0,91|s|0,97|s|76194|0|1,84|MB
